id;name;total_amount;ordered;orders_id;buyer_id;shipment_id
1;TCP Assimilated;3883;2019-05-09T09:01:29;4;1;6
2;interface;82786;2019-05-09T10:17:15;3;1;10
3;Club backing up;19438;2019-05-09T16:00:53;5;2;7
4;Metal Frozen;96953;2019-05-09T16:22:33;8;1;1
5;morph content bypass;25086;2019-05-10T04:09:31;2;2;1
6;infomediaries Som Rustic Frozen Keyboard;44235;2019-05-09T22:45:41;3;2;1
7;Tuna Response invoice;51669;2019-05-09T11:03:28;7;2;5
8;system Gorgeous Rubber Pants;15864;2019-05-09T10:34:44;2;1;4
9;Small;9415;2019-05-10T03:47:22;4;2;10
10;Shoes Music connect;80691;2019-05-09T17:24:14;4;1;5
